seeds: 2149186375 163827995 1217693442 67424215 365381741 74637275 1627905362 77016740 22956580 60539394 586585112 391263016 2740196667 355728559 2326609724 132259842 2479354214 184627854 3683286274 337630529

seed-to-soil map:
1871525202 1209106389 38691263
0 34147766 20358599
2616053742 510751514 4993575
2599888132 4283810027 11157269
379059286 3938884084 132676195
569836988 3124572936 428164512
376167336 2601034861 2891950
3463703811 141761535 101403290
1043722202 4131705728 152104299
4201509459 3794875378 20252493
2163402773 1539347871 2545110
1686333106 1072247472 136858917
998001500 96040833 45720702
4221761952 1247797652 73205344
2030085959 1781387701 104960881
2569423255 1041782595 30464877
2135046840 3552737448 28355933
3446760447 515745089 16943364
2778806332 2607467891 345962629
1195826501 1541892981 239494720
1485132608 2356854597 201200498
2611045401 4071560279 5008341
3124768961 3581093381 213781997
511735481 1481246364 58101507
2624588397 1382165537 99080827
