71-87,70-88
18-40,12-18
9-25,9-24
31-73,17-83
43-46,42-45
3-5,4-83
14-70,29-55
1-76,62-77
4-18,5-18
72-97,71-71
69-69,5-69
92-94,73-93
63-94,64-93
32-69,13-69
25-81,26-82
18-66,5-92
32-34,8-33
5-46,4-88
41-83,12-41
35-63,51-63
15-87,15-90
18-82,17-18
19-41,18-20
10-93,10-10
30-71,50-70
10-64,9-72
76-77,5-77
59-59,59-59
3-54,2-72
7-8,7-25
74-79,74-92
9-9,10-55
6-94,58-94
27-86,60-86
17-99,14-98
23-26,21-25
5-85,4-6
60-86,20-85
52-91,92-94
74-74,45-75
2-4,3-95
67-93,47-93
95-98,95-98
93-93,50-93
82-83,18-82
6-97,5-7
7-98,8-99
24-63,12-64
16-57,15-56
1-92,1-96
51-81,84-91
2-88,1-1
34-34,35-70
91-98,9-67
51-94,2-79
5-99,6-98
32-92,32-92
4-69,3-3
65-83,64-84
63-65,11-64
58-58,50-60
21-88,74-86
40-76,40-55
47-49,16-48
76-76,35-76
52-72,71-71
7-59,6-58
2-84,1-3
32-99,22-96
8-23,8-22
11-11,11-47
29-29,30-85
89-92,87-91
12-36,12-37
2-91,50-97
12-34,29-35
75-88,20-75
7-88,7-7
25-35,6-36
35-41,34-87
68-72,28-78
12-99,1-98
16-76,2-75
6-75,7-76
6-97,5-99
4-98,4-97
1-2,1-99
3-91,91-92
41-87,6-88
40-61,9-79
7-93,7-92
71-72,72-85
24-94,23-23
42-90,89-90
3-76,33-77
55-58,56-59
40-87,88-98
16-16,17-99
40-98,92-99
33-39,23-38
21-60,15-59
40-44,40-44
81-84,85-85
33-96,40-67
15-93,91-94
82-83,81-95
20-90,90-91
37-58,38-58
47-47,46-59
3-71,2-2
37-73,72-73
12-86,86-87
15-26,4-27
21-22,21-31
78-92,30-93
2-85,2-85
92-92,6-93
15-79,80-80
56-56,55-60
14-61,61-79
4-51,51-52
8-8,7-7
47-52,22-53
41-85,77-85
56-81,19-78
78-88,62-87
40-96,44-95
56-58,28-58
7-70,6-69
8-44,8-9
36-84,13-35
67-93,77-93
6-87,5-5
59-86,9-60
35-48,35-53
81-96,82-97
11-49,1-10
14-14,15-27
28-68,90-92
46-46,47-61
66-66,66-98
1-40,2-40
68-85,50-88
25-25,26-97
30-56,36-57
40-96,39-97
23-99,23-24
88-97,61-88
24-26,23-67
92-99,93-93
15-66,14-16
13-76,12-75
25-44,19-25
6-13,9-14
24-24,12-24
10-98,99-99
26-98,26-72
2-47,2-47
27-87,27-51
40-89,41-74
1-92,91-92
8-99,7-98
68-85,13-68
71-93,70-70
63-84,8-89
17-73,85-85
48-80,48-48
73-91,94-99
54-72,2-42
15-78,15-78
27-62,28-40
10-60,12-60
11-92,11-99
7-7,8-97
5-54,4-5
9-85,84-84
36-83,52-82
1-92,1-2
55-70,56-71
35-36,36-92
27-60,60-79
1-95,1-97
11-89,10-10
24-90,42-83
2-96,2-2
25-88,97-99
3-96,4-97
22-88,22-23
4-4,5-77
5-54,55-90
40-44,19-43
4-60,3-94
22-93,22-93
9-83,24-83
14-91,15-84
1-82,1-84
70-70,70-90
29-87,87-93
26-46,27-46
10-70,8-10
5-96,9-94
18-84,18-85
45-81,13-45
35-77,35-78
8-62,63-67
14-84,17-72
75-93,75-76
33-99,30-32
32-37,31-43
29-29,30-52
96-96,27-64
68-70,65-70
74-87,3-73
1-71,1-1
1-38,38-58
61-61,34-61
11-97,12-64
1-98,3-98
5-58,6-59
22-59,58-84
44-68,43-63
18-53,52-52
23-38,24-39
79-96,30-80
4-97,3-99
1-85,1-85
19-19,20-55
28-73,29-29
5-69,3-89
30-30,31-85
27-81,28-92
37-65,36-69
4-93,93-93
42-42,43-55
11-97,22-98
4-90,5-68
41-65,10-65
20-80,21-21
9-85,10-53
13-89,13-88
99-99,85-96
98-98,11-97
29-30,10-29
76-90,73-78
14-76,77-93
60-70,59-75
20-53,19-52
65-66,1-65
45-52,52-53
13-84,18-84
11-42,11-24
14-47,5-15
37-37,19-38
34-43,42-42
75-87,74-86
23-64,22-23
29-92,36-93
7-98,7-8
1-2,1-2
3-92,3-92
10-63,15-62
4-96,3-95
30-85,42-86
67-81,5-68
7-94,8-94
10-82,2-83
15-69,1-49
84-91,55-81
84-95,55-84
10-10,9-98
11-30,12-30
31-31,31-66
3-66,86-99
7-77,6-76
35-60,5-93
73-98,34-99
29-32,29-32
4-20,3-99
12-35,18-36
10-73,72-72
5-89,89-90
12-12,1-11
14-40,7-14
11-99,6-98
63-63,62-93
19-91,18-90
80-88,15-80
36-75,22-37
73-75,13-74
43-92,42-91
20-91,19-93
18-94,17-99
72-91,72-92
80-82,26-55
28-88,88-88
12-51,12-51
3-5,5-99
17-57,9-58
89-94,16-88
2-97,1-99
98-99,92-98
56-67,6-94
32-81,55-81
50-75,31-75
41-42,32-41
16-73,4-36
8-98,7-7
24-51,43-50
64-87,61-65
30-44,30-44
21-26,20-82
14-41,9-41
2-72,3-92
42-66,43-67
2-99,98-98
22-99,21-83
40-72,22-71
8-75,14-74
22-92,23-95
32-61,7-60
7-19,19-54
46-51,62-91
4-98,3-4
60-65,51-60
4-79,79-87
19-91,19-97
26-55,62-93
5-5,5-99
61-67,62-67
26-71,5-25
50-61,8-60
4-87,2-88
7-7,8-70
23-98,23-92
24-25,22-24
2-4,3-87
4-58,3-5
6-56,55-97
2-15,14-60
51-51,1-52
65-68,1-48
21-52,52-53
14-95,13-14
38-39,40-83
31-48,17-30
2-43,3-3
66-85,73-84
28-80,21-80
31-98,32-98
50-64,23-63
9-80,9-80
38-67,4-49
2-94,2-94
19-27,28-74
98-98,41-89
9-95,21-66
30-53,27-54
8-8,9-80
8-9,8-97
33-63,32-86
8-9,8-77
44-89,44-81
48-74,47-73
34-35,35-38
64-85,31-64
20-76,4-76
5-5,4-93
11-88,98-99
47-48,9-48
54-82,28-87
34-59,35-52
8-81,80-82
8-95,8-93
6-66,7-35
6-82,12-76
64-77,19-76
34-63,18-33
1-99,2-61
74-86,73-73
46-92,34-93
73-73,72-73
47-48,47-70
44-94,43-43
22-51,26-52
1-2,1-66
18-23,15-22
24-24,10-24
12-88,89-98
12-64,65-65
16-32,16-32
23-77,76-90
75-86,85-99
26-67,27-98
66-98,67-97
9-19,19-19
20-59,21-60
71-97,43-71
21-44,22-50
74-77,76-77
19-46,20-47
54-95,95-95
95-95,79-96
94-95,32-95
14-15,15-69
48-48,47-90
18-85,18-85
56-78,77-79
22-51,5-57
5-45,6-46
11-13,12-13
69-90,21-69
4-97,3-97
77-77,59-77
16-60,17-61
13-69,14-70
20-22,5-21
32-91,79-92
33-52,33-52
