x=652, y=891..904
x=674, y=198..214
x=743, y=1800..1813
y=1132, x=661..666
x=679, y=613..624
y=1826, x=557..566
y=994, x=768..775
x=442, y=395..397
x=645, y=310..331
y=867, x=751..754
x=735, y=1691..1716
x=755, y=484..491
y=955, x=496..512
x=514, y=669..696
x=490, y=205..207
x=779, y=1045..1055
x=518, y=524..534
y=1496, x=460..482
y=491, x=738..755
y=477, x=608..613
x=457, y=18..23
x=582, y=1512..1515
y=836, x=457..466
x=740, y=1196..1198
x=701, y=1886..1900
y=1881, x=609..615
y=1347, x=769..790
x=729, y=32..40
x=523, y=1850..1867
x=686, y=573..585
y=834, x=717..733
y=1512, x=737..748
y=460, x=471..493
x=520, y=907..910
x=768, y=1688..1701
y=863, x=751..754
x=701, y=352..376
x=557, y=656..667
x=465, y=1135..1141
x=613, y=1266..1287
x=594, y=58..65
x=717, y=856..874
x=748, y=1413..1417
y=1872, x=448..467
y=298, x=563..569
y=847, x=584..598
y=1495, x=725..737
y=658, x=703..720
x=526, y=983..993
y=250, x=640..652
y=336, x=767..778
y=336, x=460..463
x=775, y=909..917
x=723, y=1072..1087
x=512, y=397..419
x=450, y=1338..1364
x=583, y=773..775
x=530, y=789..801
x=682, y=1833..1839
x=739, y=1275..1280
x=472, y=710..729
y=1648, x=609..613
y=1166, x=494..497
x=441, y=200..212
x=788, y=89..92
x=782, y=707..720
x=474, y=774..777
y=1604, x=693..717
y=1531, x=633..636
y=169, x=708..711
x=507, y=750..764
x=737, y=827..851
x=682, y=1170..1189
y=171, x=608..629
x=561, y=796..809
x=680, y=248..261
x=623, y=1688..1691
y=552, x=725..736
x=711, y=526..534
y=900, x=720..746
x=595, y=531..533
y=532, x=529..533
x=493, y=502..525
x=580, y=1749..1773
x=648, y=461..475
x=573, y=1653..1681
x=466, y=1900..1911
x=471, y=795..821
y=1366, x=470..486
x=688, y=312..336
x=513, y=1624..1643
x=529, y=1370..1391
x=781, y=1621..1623
y=1698, x=463..470
x=722, y=583..609
x=637, y=86..93
x=500, y=1208..1224
x=474, y=1509..1520
y=728, x=437..449
x=500, y=1871..1877
y=1065, x=591..609
x=700, y=1766..1782
y=1813, x=724..743
y=1620, x=757..764
x=632, y=1378..1387
y=429, x=525..638
x=534, y=883..898
y=1386, x=493..518
y=1259, x=642..645
x=566, y=1810..1826
x=439, y=1534..1541
y=833, x=505..521
y=722, x=759..763
x=666, y=1114..1132
y=1845, x=677..698
y=328, x=604..609
x=483, y=12..22
x=739, y=141..159
x=644, y=844..856
x=750, y=149..150
x=585, y=1256..1261
y=1903, x=449..458
x=517, y=254..265
y=561, x=586..609
x=724, y=1016..1018
x=524, y=124..127
x=518, y=583..586
x=625, y=1401..1410
x=713, y=1305..1309
y=1192, x=632..634
x=631, y=987..1003
x=625, y=870..895
x=706, y=1350..1378
y=852, x=651..655
y=1516, x=625..639
x=467, y=1224..1238
y=374, x=534..632
x=689, y=1531..1539
y=1087, x=723..742
x=468, y=1488..1491
x=665, y=592..603
x=582, y=1256..1261
x=616, y=1013..1018
x=453, y=701..729
x=653, y=1043..1045
y=851, x=737..745
x=566, y=787..793
x=609, y=1442..1451
y=1818, x=448..455
y=184, x=749..768
x=620, y=1404..1415
x=507, y=571..589
y=1904, x=668..673
y=213, x=616..631
x=685, y=1508..1511
x=618, y=782..787
x=553, y=716..736
x=670, y=392..417
x=725, y=986..1002
x=611, y=1023..1025
x=518, y=868..877
x=761, y=1887..1897
x=734, y=1214..1216
y=109, x=523..545
x=676, y=803..815
x=521, y=815..833
x=730, y=1350..1378
x=768, y=1448..1454
y=1533, x=633..636
x=525, y=889..893
x=510, y=596..613
x=731, y=1608..1620
y=1180, x=740..762
x=475, y=1702..1722
y=1912, x=693..701
x=451, y=539..547
y=568, x=512..524
y=735, x=712..737
x=434, y=203..215
x=731, y=1567..1577
x=586, y=936..938
x=790, y=1438..1443
x=441, y=745..765
x=588, y=1354..1357
x=455, y=1806..1818
y=331, x=645..666
x=539, y=789..801
y=1108, x=464..468
y=711, x=675..693
y=352, x=549..599
y=1768, x=736..760
x=684, y=892..907
x=738, y=485..491
x=620, y=1688..1691
y=1461, x=568..593
y=1911, x=780..785
y=816, x=534..558
x=725, y=1487..1495
x=769, y=1230..1246
y=1867, x=724..737
x=605, y=1739..1743
x=786, y=1460..1488
x=748, y=1504..1512
x=684, y=1833..1839
x=782, y=898..921
x=504, y=668..696
y=282, x=547..579
y=583, x=518..520
x=562, y=719..741
x=671, y=1552..1555
x=654, y=938..952
y=277, x=472..476
y=825, x=511..513
x=513, y=1063..1071
x=667, y=1203..1222
x=738, y=1816..1828
x=788, y=343..360
x=604, y=325..328
x=475, y=976..987
x=688, y=1719..1738
x=718, y=792..800
y=1391, x=529..541
x=706, y=884..887
y=1888, x=627..638
y=803, x=489..496
y=1828, x=738..744
x=751, y=863..867
x=570, y=1330..1351
y=623, x=560..573
x=466, y=834..836
x=553, y=235..244
y=1611, x=626..646
y=1531, x=535..539
x=489, y=32..44
x=598, y=1547..1557
x=448, y=1858..1872
x=485, y=76..88
x=657, y=964..968
x=655, y=715..720
x=653, y=595..606
x=496, y=848..873
y=1191, x=575..582
y=308, x=769..785
x=784, y=1811..1830
x=594, y=861..886
y=1168, x=494..497
x=449, y=1117..1142
x=460, y=1836..1838
y=1085, x=590..594
x=586, y=1884..1890
y=432, x=463..483
x=452, y=1557..1568
x=599, y=255..263
y=1189, x=679..682
x=521, y=1444..1454
x=576, y=803..806
x=754, y=863..867
y=606, x=653..671
x=650, y=138..165
y=147, x=536..540
y=1023, x=661..663
x=509, y=176..194
x=635, y=1041..1052
y=88, x=665..685
y=1539, x=679..689
x=654, y=964..968
y=331, x=460..463
x=764, y=936..947
x=769, y=1905..1915
y=773, x=534..556
x=674, y=79..85
y=681, x=534..562
x=522, y=1162..1184
x=701, y=32..39
x=744, y=1816..1828
x=704, y=1664..1682
y=1891, x=609..615
x=648, y=961..971
x=628, y=637..641
y=1668, x=769..777
x=725, y=543..552
x=773, y=1230..1246
x=638, y=676..695
y=787, x=736..754
y=736, x=541..553
x=664, y=845..856
y=1529, x=556..578
x=633, y=1022..1025
y=65, x=594..598
x=627, y=1378..1387
x=510, y=257..260
x=619, y=1086..1099
y=874, x=717..720
x=449, y=722..728
x=679, y=1484..1495
x=529, y=1480..1484
y=973, x=568..570
x=462, y=702..729
y=863, x=571..573
y=1138, x=707..713
x=661, y=1115..1132
x=529, y=1300..1301
y=801, x=530..539
x=663, y=1367..1385
x=645, y=1212..1216
x=579, y=491..517
x=530, y=1613..1617
y=836, x=664..683
y=1314, x=564..570
x=494, y=1166..1168
y=1511, x=685..691
x=531, y=121..130
y=779, x=575..590
x=516, y=61..65
x=726, y=133..148
y=1229, x=438..442
x=581, y=1389..1409
x=745, y=148..150
x=534, y=673..681
x=487, y=181..193
x=496, y=304..326
y=1003, x=631..639
x=764, y=909..917
x=529, y=517..532
y=821, x=449..471
y=641, x=628..654
y=1541, x=495..515
x=645, y=1229..1241
y=20, x=556..575
y=1246, x=769..773
x=764, y=1593..1620
y=215, x=434..451
x=665, y=74..88
x=698, y=115..140
y=1910, x=479..485
x=690, y=963..977
x=691, y=1463..1473
x=780, y=204..214
x=492, y=1896..1905
y=74, x=537..539
x=472, y=1779..1807
x=437, y=794..802
y=612, x=438..442
x=557, y=1080..1106
x=645, y=1709..1732
x=526, y=804..810
y=194, x=509..521
y=365, x=713..722
x=773, y=454..458
x=452, y=655..664
x=478, y=82..85
x=615, y=1881..1891
x=498, y=1411..1419
x=479, y=823..842
y=130, x=507..531
y=895, x=625..630
x=529, y=1458..1462
y=1620, x=522..549
y=193, x=451..487
y=1722, x=447..475
y=1045, x=653..655
y=285, x=537..595
x=691, y=1800..1802
y=1745, x=530..551
x=632, y=1401..1410
y=1848, x=749..754
x=642, y=1168..1177
y=310, x=463..467
y=1778, x=443..454
y=1578, x=756..780
x=478, y=510..521
y=115, x=594..597
x=613, y=1682..1695
y=1617, x=530..540
y=1141, x=616..638
x=698, y=844..858
x=647, y=1293..1296
x=533, y=1179..1181
x=582, y=1331..1351
y=411, x=533..553
y=284, x=609..627
x=687, y=699..708
x=678, y=37..60
y=165, x=650..671
x=690, y=1229..1247
x=648, y=437..447
y=1697, x=528..551
x=649, y=677..695
y=1742, x=537..541
x=582, y=1191..1196
x=594, y=1505..1521
x=764, y=88..92
x=637, y=470..472
y=922, x=715..718
y=1156, x=530..532
y=1716, x=717..735
y=1380, x=570..577
y=419, x=494..512
y=685, x=699..703
x=443, y=1752..1778
x=763, y=722..724
x=604, y=1419..1424
x=512, y=625..633
y=971, x=648..666
x=704, y=1528..1531
x=581, y=677..691
x=752, y=1652..1665
x=440, y=1403..1410
x=458, y=1836..1838
x=591, y=1253..1268
x=768, y=1524..1536
y=603, x=660..665
x=678, y=1148..1160
y=219, x=529..536
x=637, y=1557..1562
x=537, y=63..74
x=471, y=4..30
y=1392, x=622..642
y=538, x=553..577
y=1417, x=742..748
x=453, y=1619..1621
x=610, y=33..47
y=62, x=458..475
x=720, y=656..658
x=610, y=1364..1366
x=476, y=1243..1254
x=754, y=1691..1704
y=741, x=562..573
y=660, x=741..750
y=517, x=560..579
x=746, y=1192..1208
x=691, y=526..532
x=708, y=141..169
y=1313, x=669..683
x=638, y=419..429
x=476, y=271..277
y=153, x=569..573
x=671, y=742..752
x=597, y=736..753
y=1773, x=580..591
x=599, y=527..539
y=1166, x=574..579
y=1535, x=535..539
x=500, y=1851..1867
x=575, y=1191..1196
x=473, y=1833..1843
x=607, y=296..310
x=645, y=437..447
y=1018, x=602..616
x=619, y=922..948
x=480, y=1630..1638
x=532, y=1136..1156
y=993, x=526..546
x=736, y=1757..1768
x=467, y=1136..1141
x=616, y=1266..1287
x=562, y=1197..1221
x=700, y=1863..1877
x=722, y=1363..1368
y=81, x=524..528
x=553, y=1375..1383
x=463, y=1273..1293
y=1120, x=604..628
x=578, y=803..806
x=541, y=1245..1259
y=1302, x=632..656
x=435, y=1042..1051
y=695, x=638..649
x=788, y=1614..1630
y=518, x=595..612
y=1451, x=607..609
y=1293, x=437..463
x=470, y=656..664
x=455, y=1338..1364
x=600, y=1444..1455
x=592, y=905..923
x=711, y=1428..1441
y=1831, x=732..750
x=651, y=324..326
x=520, y=583..586
x=647, y=1396..1410
x=481, y=750..764
x=559, y=1582..1588
x=489, y=609..616
y=1004, x=585..610
x=460, y=477..480
x=556, y=1346..1358
y=585, x=755..759
y=904, x=485..501
y=1491, x=619..621
x=758, y=113..132
x=609, y=277..284
x=753, y=612..635
x=672, y=249..261
y=893, x=662..664
x=458, y=1885..1903
x=594, y=1083..1085
x=761, y=245..256
x=725, y=90..92
x=767, y=1169..1178
x=603, y=470..481
y=514, x=717..720
x=605, y=1832..1839
x=613, y=475..477
x=611, y=1337..1349
x=680, y=891..907
x=535, y=1412..1439
x=767, y=578..599
y=1354, x=514..541
x=696, y=1359..1381
x=634, y=717..745
x=493, y=1369..1386
x=534, y=811..816
x=472, y=1580..1591
y=144, x=624..630
x=772, y=1490..1504
x=572, y=1006..1020
x=554, y=965..979
x=479, y=55..68
y=1227, x=727..747
y=150, x=608..611
y=381, x=727..748
x=556, y=766..773
x=750, y=638..660
y=952, x=635..654
y=1897, x=761..781
y=1351, x=570..582
x=642, y=913..926
x=786, y=1687..1693
y=1196, x=575..582
y=1613, x=530..540
x=476, y=922..929
x=700, y=880..891
y=676, x=714..722
x=732, y=1023..1034
x=717, y=831..834
x=783, y=451..461
y=12, x=756..766
x=649, y=831..835
y=148, x=722..726
x=467, y=53..58
y=967, x=445..461
x=461, y=1610..1624
x=435, y=1577..1581
x=545, y=1346..1358
x=519, y=1242..1248
x=434, y=282..291
y=893, x=513..525
x=536, y=1822..1830
x=773, y=1864..1877
x=577, y=1366..1380
x=517, y=1091..1118
x=551, y=1146..1169
x=541, y=237..240
x=594, y=783..787
y=757, x=497..500
x=711, y=142..169
x=574, y=935..938
y=880, x=664..681
y=1248, x=494..519
y=809, x=561..587
x=507, y=120..130
x=713, y=1607..1620
x=548, y=805..807
y=793, x=551..566
y=987, x=475..479
x=756, y=4..12
x=463, y=426..432
x=513, y=820..825
x=727, y=1112..1139
x=497, y=200..210
y=990, x=666..683
y=1051, x=435..452
x=767, y=321..336
y=321, x=541..554
y=1832, x=600..605
x=573, y=1730..1743
y=547, x=451..462
y=1454, x=768..771
y=1637, x=730..732
x=513, y=889..893
y=76, x=629..647
y=613, x=508..510
x=785, y=285..308
y=1484, x=529..537
x=594, y=1225..1230
x=605, y=922..948
x=481, y=1794..1822
x=739, y=1733..1745
x=774, y=1195..1198
y=1558, x=740..742
x=475, y=50..62
y=390, x=637..639
x=731, y=112..132
x=667, y=95..120
x=671, y=1677..1693
y=1695, x=613..638
x=511, y=32..44
x=467, y=1857..1872
x=554, y=321..326
x=749, y=1892..1906
y=909, x=764..775
y=1108, x=487..512
x=478, y=1836..1840
x=624, y=461..475
x=599, y=320..331
y=88, x=468..485
y=1301, x=506..529
y=1392, x=737..745
x=455, y=1510..1520
y=371, x=618..620
x=608, y=1036..1048
x=735, y=1784..1786
x=516, y=1748..1775
y=1117, x=610..622
y=1460, x=697..699
y=1822, x=481..489
y=533, x=592..595
x=498, y=724..727
y=932, x=588..597
y=1387, x=627..632
y=1178, x=602..609
x=688, y=1627..1639
x=568, y=1388..1409
x=619, y=1480..1491
y=450, x=638..654
y=1640, x=570..573
y=1762, x=768..774
y=1410, x=625..632
y=1072, x=475..488
y=1129, x=674..696
x=539, y=63..74
x=483, y=1584..1588
y=1854, x=713..760
y=263, x=588..599
y=1851, x=536..545
x=511, y=1470..1488
x=578, y=1542..1553
y=1456, x=663..666
y=1008, x=671..677
y=1906, x=745..749
x=742, y=1413..1417
y=261, x=672..680
x=560, y=490..517
y=691, x=576..581
x=670, y=198..214
x=731, y=1456..1470
x=720, y=10..15
y=1640, x=719..744
y=426, x=733..755
x=738, y=263..283
x=598, y=824..847
x=527, y=1179..1181
x=466, y=99..110
x=544, y=162..168
x=701, y=1910..1912
x=486, y=1584..1588
y=1748, x=469..476
x=545, y=1845..1851
x=657, y=1466..1468
x=746, y=898..900
y=513, x=673..684
y=1184, x=522..544
x=492, y=1781..1803
y=1031, x=562..567
x=729, y=142..159
y=95, x=755..761
x=478, y=96..107
x=681, y=1720..1738
x=698, y=352..376
x=578, y=572..585
x=600, y=1026..1045
y=810, x=505..526
x=581, y=38..63
y=1911, x=466..470
y=376, x=698..701
x=666, y=962..971
x=494, y=1241..1248
x=699, y=1358..1381
y=391, x=524..541
x=661, y=613..624
x=599, y=1059..1061
x=745, y=1366..1392
y=1789, x=726..748
x=736, y=85..100
x=664, y=823..836
y=1462, x=529..538
x=658, y=831..835
y=405, x=701..708
x=570, y=1637..1640
x=699, y=1433..1460
x=448, y=1244..1254
x=671, y=138..165
x=693, y=743..752
x=511, y=303..326
x=551, y=1246..1259
y=838, x=536..556
y=1562, x=637..639
y=283, x=724..738
y=116, x=549..570
x=694, y=392..417
x=595, y=617..622
x=790, y=1343..1347
x=757, y=46..60
x=525, y=418..429
x=652, y=247..250
y=1470, x=731..747
x=508, y=596..613
y=917, x=764..775
y=1771, x=688..692
y=1693, x=786..788
x=657, y=1396..1410
y=68, x=479..526
x=712, y=222..240
x=715, y=1466..1482
x=473, y=843..866
x=657, y=1081..1101
y=326, x=496..511
y=1877, x=700..773
x=639, y=1507..1516
y=514, x=565..571
x=437, y=1274..1293
x=742, y=1073..1087
y=977, x=690..716
x=674, y=758..780
y=447, x=645..648
y=789, x=696..700
y=92, x=764..788
y=877, x=672..674
x=706, y=784..794
x=720, y=897..900
y=825, x=618..638
y=979, x=554..577
y=1775, x=506..516
x=522, y=1569..1577
x=711, y=1261..1270
x=654, y=637..641
x=717, y=1270..1273
x=442, y=794..802
y=1743, x=605..632
x=713, y=85..100
x=533, y=516..532
y=1299, x=607..629
x=707, y=583..609
x=469, y=1389..1416
y=1381, x=696..699
y=895, x=662..664
x=449, y=1885..1903
x=486, y=1150..1171
x=781, y=1887..1897
y=65, x=516..518
x=630, y=130..144
y=624, x=661..679
y=1871, x=724..737
x=649, y=1021..1032
y=461, x=765..783
x=638, y=1427..1437
x=525, y=1469..1488
x=453, y=156..173
x=669, y=572..585
x=740, y=1244..1263
x=755, y=76..95
x=570, y=1312..1314
y=1459, x=646..673
y=1867, x=500..523
x=485, y=893..904
y=1786, x=735..740
x=724, y=1799..1813
x=580, y=773..775
y=22, x=483..501
x=577, y=964..979
y=1838, x=458..460
y=1198, x=736..740
x=658, y=1204..1222
y=1689, x=595..598
y=1410, x=440..461
x=709, y=1313..1314
y=794, x=684..706
y=664, x=452..470
x=503, y=525..534
x=742, y=742..745
x=597, y=930..932
x=768, y=654..672
x=501, y=893..904
x=524, y=81..87
y=917, x=510..530
x=700, y=115..140
x=503, y=921..929
y=1221, x=562..564
x=448, y=745..765
y=889, x=513..525
x=783, y=1034..1042
x=613, y=1553..1578
x=457, y=282..291
x=693, y=676..690
y=1830, x=536..543
y=30, x=447..471
x=501, y=321..323
y=1578, x=613..627
x=592, y=1188..1205
x=464, y=220..229
x=563, y=529..532
y=1557, x=637..639
x=671, y=1627..1639
x=465, y=1514..1516
x=463, y=331..336
y=1280, x=739..758
x=562, y=674..681
x=607, y=1295..1299
x=671, y=79..85
x=598, y=1667..1689
x=475, y=1052..1072
y=1454, x=521..538
x=616, y=202..213
x=565, y=510..514
y=1637, x=570..573
x=497, y=753..757
y=85, x=476..478
x=729, y=1193..1208
y=638, x=538..543
y=1055, x=775..779
x=693, y=702..711
y=156, x=563..579
y=1091, x=579..600
x=524, y=381..391
y=1296, x=647..650
x=543, y=595..600
y=1757, x=637..656
y=1424, x=594..604
y=1127, x=767..790
y=1839, x=600..605
x=753, y=439..465
x=638, y=1886..1888
x=602, y=1059..1061
y=151, x=524..546
x=541, y=1369..1391
x=671, y=976..987
x=693, y=1596..1604
x=579, y=1154..1166
x=598, y=1111..1122
y=585, x=578..669
x=460, y=1477..1496
y=1441, x=707..711
x=576, y=678..691
x=537, y=273..285
y=1531, x=696..704
x=696, y=789..791
x=751, y=714..729
x=580, y=1667..1670
x=568, y=529..532
x=680, y=1765..1782
x=625, y=1508..1516
y=1172, x=648..655
x=459, y=842..866
y=452, x=702..730
